ID_Transacao,Empresa,ID_Operador,Data_Hora,Descricao_Produto,Quantidade,Preco_Unitario,Desconto_Aplicado,Valor_Total,Metodo_Pagamento
100000,pmw2026,103,2026-01-07 17:00:00,Patinho 1kg,2,38.9,0.0,77.8,Cartão de Débito
100001,pmw2026,103,2026-01-14 13:00:00,Shampoo,4,18.0,0.0,72.0,Cartão de Crédito
100002,pmw2026,101,2026-02-15 00:00:00,Pão de Forma,4,7.5,0.0,30.0,PIX
100003,pmw2026,101,2026-01-15 06:00:00,Detergente,2,2.5,0.0,5.0,PIX
100004,pmw2026,105,2026-01-20 19:00:00,Pão de Forma,1,7.5,0.0,7.5,PIX
100005,pmw2026,104,2026-01-06 02:00:00,Feijão 1kg,3,8.5,0.0,25.5,Cartão de Débito
100006,pmw2026,105,2026-03-23 21:00:00,Café 500g,2,16.9,0.0,33.8,Cartão de Débito
100007,pmw2026,102,2026-03-18 17:00:00,Café 500g,1,16.9,0.0,16.9,PIX
100008,pmw2026,105,2026-02-10 06:00:00,Café 500g,2,16.9,0.0,33.8,Cartão de Crédito
100009,pmw2026,101,2026-02-10 02:00:00,Pão de Forma,5,7.5,0.0,37.5,Dinheiro
100010,pmw2026,102,2026-02-23 06:00:00,Pão de Forma,3,7.5,0.0,22.5,Cartão de Crédito
100011,pmw2026,105,2026-03-13 03:00:00,Café 500g,2,16.9,0.0,33.8,PIX
100012,pmw2026,101,2026-02-28 05:00:00,Leite Integral,4,5.2,0.0,20.8,Dinheiro
100013,pmw2026,103,2026-02-26 06:00:00,Arroz 5kg,3,24.9,0.0,74.7,Cartão de Débito
100014,pmw2026,104,2026-02-11 09:00:00,Arroz 5kg,4,24.9,0.0,99.6,PIX
100015,pmw2026,105,2026-03-31 21:00:00,Feijão 1kg,2,8.5,12.06,4.94,Cartão de Crédito
100016,pmw2026,104,2026-01-24 16:00:00,Mussarela 1kg,1,45.9,0.0,45.9,PIX
100017,pmw2026,105,2026-03-06 02:00:00,Óleo de Soja,5,6.9,0.0,34.5,Cartão de Crédito
100018,pmw2026,103,2026-03-22 17:00:00,Arroz 5kg,1,24.9,0.0,24.9,PIX
100019,pmw2026,104,2026-02-09 05:00:00,Shampoo,1,18.0,0.0,18.0,Cartão de Crédito
100020,pmw2026,104,2026-01-06 06:00:00,Feijão 1kg,3,8.5,0.0,25.5,Cartão de Débito
100021,pmw2026,102,2026-03-12 20:00:00,Detergente,1,2.5,0.0,2.5,Cartão de Débito
100022,pmw2026,101,2026-01-08 23:00:00,Óleo de Soja,1,6.9,0.0,6.9,Cartão de Crédito
100023,pmw2026,102,2026-02-24 17:00:00,Feijão 1kg,3,8.5,0.0,25.5,PIX
100024,pmw2026,103,2026-03-05 07:00:00,Detergente,4,2.5,0.0,10.0,PIX
100025,pmw2026,101,2026-03-05 19:00:00,Arroz 5kg,5,24.9,0.0,124.5,PIX
100026,pmw2026,101,2026-01-12 01:00:00,Feijão 1kg,2,8.5,0.0,17.0,Cartão de Crédito
100027,pmw2026,101,2026-01-01 04:00:00,Pão de Forma,2,7.5,0.0,15.0,Cartão de Crédito
100028,pmw2026,103,2026-02-25 19:00:00,Patinho 1kg,5,38.9,0.0,194.5,Cartão de Débito
100029,pmw2026,103,2026-01-25 20:00:00,Mussarela 1kg,1,45.9,0.0,45.9,PIX
100030,pmw2026,105,2026-01-25 15:00:00,Café 500g,4,16.9,45.74,21.86,Dinheiro
100031,pmw2026,101,2026-03-24 23:00:00,Óleo de Soja,5,6.9,0.0,34.5,Cartão de Crédito
100032,pmw2026,103,2026-03-12 08:00:00,Óleo de Soja,4,6.9,0.0,27.6,Cartão de Crédito
100033,pmw2026,101,2026-01-29 18:00:00,Shampoo,4,18.0,0.0,72.0,Cartão de Crédito
100034,pmw2026,103,2026-03-14 17:00:00,Óleo de Soja,2,6.9,0.0,13.8,Dinheiro
100035,pmw2026,105,2026-02-15 18:00:00,Leite Integral,3,5.2,0.0,15.6,Cartão de Crédito
100036,pmw2026,103,2026-03-15 09:00:00,Shampoo,3,18.0,0.0,54.0,Dinheiro
100037,pmw2026,101,2026-01-04 01:00:00,Leite Integral,2,5.2,0.0,10.4,Cartão de Débito
100038,pmw2026,105,2026-01-20 09:00:00,Pão de Forma,1,7.5,0.0,7.5,Dinheiro
100039,pmw2026,103,2026-03-20 13:00:00,Leite Integral,1,5.2,0.0,5.2,Dinheiro
100040,pmw2026,103,2026-01-13 22:00:00,Café 500g,3,16.9,0.0,50.7,Cartão de Débito
100041,pmw2026,101,2026-03-21 05:00:00,Leite Integral,3,5.2,0.0,15.6,Cartão de Crédito
100042,pmw2026,101,2026-03-14 00:00:00,Café 500g,4,16.9,0.0,67.6,Dinheiro
100043,pmw2026,105,2026-03-04 17:00:00,Arroz 5kg,2,24.9,27.5,22.3,Dinheiro
100044,pmw2026,101,2026-02-10 18:00:00,Café 500g,5,16.9,0.0,84.5,PIX
100045,pmw2026,104,2026-02-10 20:00:00,Café 500g,1,16.9,0.0,16.9,Dinheiro
100046,pmw2026,104,2026-01-17 03:00:00,Pão de Forma,1,7.5,0.0,7.5,Dinheiro
100047,pmw2026,105,2026-01-21 19:00:00,Feijão 1kg,3,8.5,17.97,7.53,Dinheiro
100048,pmw2026,101,2026-03-23 01:00:00,Shampoo,1,18.0,0.0,18.0,Cartão de Débito
100049,pmw2026,104,2026-01-25 19:00:00,Shampoo,4,18.0,0.0,72.0,Cartão de Crédito
100050,pmw2026,102,2026-02-01 01:00:00,Shampoo,2,18.0,0.0,36.0,Cartão de Crédito
100051,pmw2026,102,2026-01-04 18:00:00,Detergente,1,2.5,0.0,2.5,Dinheiro
100052,pmw2026,102,2026-03-11 07:00:00,Shampoo,4,18.0,0.0,72.0,Cartão de Débito
100053,pmw2026,102,2026-01-19 15:00:00,Arroz 5kg,2,24.9,0.0,49.8,PIX
100054,pmw2026,103,2026-02-01 09:00:00,Café 500g,1,16.9,0.0,16.9,Cartão de Débito
100055,pmw2026,105,2026-02-20 07:00:00,Feijão 1kg,3,8.5,0.0,25.5,Dinheiro
100056,pmw2026,105,2026-03-04 07:00:00,Detergente,3,2.5,0.0,7.5,PIX
100057,pmw2026,104,2026-01-07 21:00:00,Mussarela 1kg,2,45.9,0.0,91.8,Cartão de Débito
100058,pmw2026,105,2026-03-06 18:00:00,Óleo de Soja,5,6.9,0.0,34.5,PIX
100059,pmw2026,101,2026-03-20 08:00:00,Feijão 1kg,1,8.5,0.0,8.5,PIX
100060,pmw2026,104,2026-03-05 09:00:00,Detergente,3,2.5,0.0,7.5,Dinheiro
100061,pmw2026,105,2026-01-09 23:00:00,Shampoo,5,18.0,0.0,90.0,PIX
100062,pmw2026,101,2026-01-31 23:00:00,Arroz 5kg,1,24.9,0.0,24.9,Cartão de Crédito
100063,pmw2026,103,2026-02-03 13:00:00,Patinho 1kg,4,38.9,0.0,155.6,PIX
